name,season,age,body_type,race_ethnicity,num_bottom,bottom_win,max_challenge,snatch_win,mini_challenge,drag_exp,challenge_type,personality,mentor_supp,judge_comment,lipsync_ass,sentiment,positive_action1,positive_action2,final_status
Daya Betty,14,25,Slender,White,1,0,2,No,1,8,"Fashion, Design",Bold,"Yes, from Crystal Methyd",Recognized for edgy fashion and bold performances,Yes,0.016666667,edgy fashion,bold performances,Finalist
DeJa Skye,14,31,Plus-size,Black,1,1,1,Yes,0,8,"Comedy, Performance",Humorous,No,Appreciated for humor and positive energy,No,0.2136363636363636,humor,positive energy,Not in Finals
Jorgeous,14,21,Slender,Latinx,3,1,1,No,0,3,"Dance, Performance",Energetic,No,Highlighted for dance skills and stage presence,Yes,0,dance skills,stage presence,Finalist
Jasmine Kennedie,14,22,Athletic,White,3,3,0,No,0,5,"Dance, Performance",High-energy,No,Praised for high-energy performances,Yes,0,high-energy performances,,Not in Finals
Kerri Colby,14,24,Slender,Black,2,1,1,No,1,6,"Fashion, Runway",Elegant,"Yes, from Kornbread ""The Snack"" Jet̩",Known for stunning looks and elegance,No,0.5,stunning looks,elegance,Not in Finals
Maddy Morphosis,14,26,Average,White,2,1,0,No,0,4,"Comedy, Performance",Unique,No,Highlighted for unique perspective and humor,No,0.375,unique perspective,humor,Not in Finals
Orion Story,14,25,Average,White,2,0,0,No,0,3,"Fashion, Design",Quirky,No,Celebrated for quirky style and creativity,No,0.175,quirky style,creativity,Not in Finals
Kornbread 'The Snack' Jete,14,29,Plus-size,Black,0,0,0,No,0,7,"Comedy, Performance",Bold,No,Recognized for bold personality and humor,No,0.3333333333333333,bold personality,humor,Not in Finals
Alyssa Hunter,14,26,Slender,Latinx,1,0,0,No,0,5,"Fashion, Runway",Polished,No,Noted for polished looks and stage presence,No,0,polished looks,stage presence,Not in Finals
Sasha Colby,15,38,Slender,Native Hawaiian,0,0,4,No,0,20,"Runway, Performance",Confident,No,Praised for versatility and professionalism,No,0.2875,versatility,professionalism,Winner
Anetra,15,25,Athletic,Asian American,3,3,3,No,2,5,"Dance, Performance",High-energy,No,Praised for high-energy performances,Yes,0,high-energy performances,,Finalist
Luxx Noir London,15,22,Slender,Black,1,1,2,No,0,4,"Runway, Performance",Fashion-forward,No,Highlighted for fashion sense and creative concepts,No,0.5,fashion sense,creative concepts,Not in Finals
Mistress Isabelle Brooks,15,24,Plus-size,Black,1,0,2,No,0,7,"Comedy, Performance",Humorous,No,Known for humor and strong stage presence,No,0.4333333333333333,humor,strong stage presence,Finalist
Loosey LaDuca,15,32,Average,White,2,1,4,Yes,2,6,"Comedy, Performance",Versatile,No,Recognized for polished looks and consistent performances,No,0.25,polished looks,consistent performances,Not in Finals
Salina EsTitties,15,31,Plus-size,Latinx,4,3,0,No,0,7,"Comedy, Performance",Bold,No,Celebrated for bold performances and energetic presence,Yes,0.3944444444444444,bold performances,energetic presence,Not in Finals
Marcia Marcia Marcia,15,25,Average,White,1,0,0,No,0,3,"Comedy, Performance",Humorous,No,Recognized for comedic timing and unique style,No,0.375,comedic timing,unique style,Not in Finals
Malaysia Babydoll Foxx,15,32,Plus-size,Black,1,0,0,No,0,8,"Runway, Performance",Charismatic,No,Appreciated for charisma and personality,No,0.2,charisma,personality,Not in Finals
Spice,15,23,Slender,Latinx,2,1,0,No,0,2,"Comedy, Performance",Energetic,No,Known for youthful energy and creative concepts,No,0.5,youthful energy,creative concepts,Not in Finals
Jax,15,25,Athletic,Black,3,2,0,No,0,4,"Dance, Performance",Athletic,No,Commended for athleticism and performance skills,Yes,0,athleticism,performance skills,Not in Finals
Aura Mayari,15,30,Athletic,Asian American,1,0,1,No,0,5,"Dance, Performance",High-energy,No,Noted for dance skills and high-energy performances,No,0,dance skills,high-energy performances,Not in Finals
Robin Fierce,15,26,Average,Black,1,0,0,No,0,6,"Runway, Performance",Elegant,No,Praised for elegance and strong runway presence,No,0.4333333333333333,elegance,strong runway presence,Not in Finals
Amethyst,15,27,Average,White,3,2,0,No,0,4,"Comedy, Performance",Creative,No,Highlighted for creativity and unique concepts,No,0.375,creativity,unique concepts,Not in Finals
Sugar,15,23,Slender,Latinx,1,0,0,No,0,2,"Comedy, Performance",Energetic,No,Known for creative looks and bubbly personality,No,0.5,creative looks,bubbly personality,Not in Finals
Princess Poppy,15,26,Slender,White,1,0,0,No,0,3,"Comedy, Performance",Quirky,No,Recognized for quirky style and humor,No,0,quirky style,humor,Not in Finals
Irene Dubois,15,29,Slender,White,1,0,0,No,0,4,"Comedy, Performance",Unique,No,Appreciated for unique perspective and creativity,No,0.2875,unique perspective,creativity,Not in Finals
